gene,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000214125.2,0,0,0,0,0,0
ENSG00000214161.3,0,0,0,0,0,0
ENSG00000214491.8,0,0,0,0,1,0
ENSG00000214526.3,0,1,0,0,0,0
ENSG00000214727.2,0,0,0,0,0,0
ENSG00000215012.8,0,0,0,0,1,1
ENSG00000215193.12,0,0,0,0,6,0
ENSG00000215268.3,0,0,0,0,0,0
ENSG00000215270.3,0,0,0,10,6,6
ENSG00000215333.3,0,0,0,0,1,0
ENSG00000215347.3,3,0,2,3,3,4
ENSG00000215403.1,0,0,0,0,0,0
ENSG00000215456.5,0,0,0,0,0,0
ENSG00000215464.4,0,0,0,0,1,0
ENSG00000215478.8,0,0,0,0,1,0
ENSG00000215481.8,0,0,0,0,0,0
ENSG00000215493.3,4,8,13,10,5,3
ENSG00000215498.8,0,0,0,0,1,0
ENSG00000215544.6,0,0,0,0,0,0
ENSG00000215568.7,0,0,0,0,0,0
ENSG00000215771.2,0,0,0,0,0,1
ENSG00000217261.4,0,0,0,0,0,0
ENSG00000217442.3,0,0,0,0,0,0
ENSG00000218357.3,0,0,0,0,1,0
ENSG00000218537.1,109,138,116,453,294,474
ENSG00000219438.8,0,1,0,0,0,0
ENSG00000220248.1,0,0,0,0,0,0
ENSG00000220702.1,0,0,0,0,0,0
ENSG00000220891.1,0,0,0,0,0,0
ENSG00000221039.2,0,0,0,0,0,0
ENSG00000221069.1,0,1,0,0,0,0
ENSG00000221084.1,0,0,0,0,1,0
ENSG00000221160.1,0,0,0,0,0,0
ENSG00000221366.2,0,0,0,0,0,0
ENSG00000221598.2,0,0,0,0,0,0
ENSG00000221736.2,0,0,0,0,0,0
ENSG00000221760.1,0,0,0,0,0,0
ENSG00000221890.2,0,0,0,0,0,0
ENSG00000221963.5,0,0,0,0,2,0
ENSG00000222037.5,0,0,0,0,0,0
ENSG00000222044.1,6,3,10,4,4,0
ENSG00000222352.1,0,0,0,0,0,0
ENSG00000222585.1,0,0,0,0,0,0
ENSG00000222630.2,0,0,0,0,0,0
ENSG00000222698.1,0,0,0,0,0,0
ENSG00000222915.1,1,1,0,0,0,0
ENSG00000223056.1,0,0,0,0,0,0
ENSG00000223142.1,0,0,0,0,0,0
ENSG00000223350.2,0,0,0,0,0,0
